component ID,serial number,project number,production number,total quantity,door type,shipping address
K062382-01Door_Leaf,K062382-01,2204160,K062382/003,1,KH-1010,WEGROW
K062382-01Door_Panel,K062382-01,2204160,K062382/004,1,KH-1010,WEGROW
K062382-01Door_Frame,K062382-01,2204160,K062382/007,1,KH-1010,WEGROW
K065408-01Door_Leaf,K065408-01,2303644,K065408/003,1,VH-1414,VRIESOORD
K065408-01Door_Panel,K065408-01,2303644,K065408/004,1,VH-1414,VRIESOORD
K063902-01Door_Leaf,K063902-01,2207578,K063902/003,1,KH-1010,HOFLADEN
K063902-01Door_Panel,K063902-01,2207578,K063902/004,1,KH-1010,HOFLADEN
K063902-01Door_Frame,K063902-01,2207578,K063902/007,1,KH-1010,HOFLADEN
K064291-01Door_Leaf,K064291-01,2201966,K064291/003,1,VH-1414V,MOVIANTO
K064291-01Door_Panel,K064291-01,2201966,K064291/005,1,VH-1414V,MOVIANTO
K064291-01Door_Frame,K064291-01,2201966,K064291/007,1,VH-1414V,MOVIANTO
K064292-01Door_Leaf,K064292-01,2201966,K064292/003,2,KH-1010V,MOVIANTO
K064292-02Door_Leaf,K064292-02,2201966,K064292/003,2,KH-1010V,MOVIANTO
K064292-01Door_Panel,K064292-01,2201966,K064292/005,2,KH-1010V,MOVIANTO
K064292-02Door_Panel,K064292-02,2201966,K064292/005,2,KH-1010V,MOVIANTO
K064292-02Door_Frame,K064292-02,2201966,K064292/007,2,KH-1010V,MOVIANTO
K064292-01Door_Frame,K064292-01,2201966,K064292/007,2,KH-1010V,MOVIANTO
K064965-01Door_Leaf,K064965-01,2301385,K064965/003,1,KS-1810,VOETS
K064965-01Door_Frame,K064965-01,2301385,K064965/008,1,KS-1810,VOETS
K064612-01Door_Panel,K064612-01,2107530,K064612/005,1,VH-1414VK,NEWCOLD
K064756-01Door_Leaf,K064756-01,2107530,K064756/003,3,AL-0804-H,NEWCOLD
K064756-03Door_Leaf,K064756-03,2107530,K064756/003,3,AL-0804-H,NEWCOLD
K064756-02Door_Leaf,K064756-02,2107530,K064756/003,3,AL-0804-H,NEWCOLD
K064756-01Door_Panel,K064756-01,2107530,K064756/004,3,AL-0804-H,NEWCOLD
K064756-03Door_Panel,K064756-03,2107530,K064756/004,3,AL-0804-H,NEWCOLD
K064756-02Door_Panel,K064756-02,2107530,K064756/004,3,AL-0804-H,NEWCOLD
